,name,party,url,twitter_handle
0,Jean-Luc Addor,SVP,https://twitter.com/udcvr64?lang=de,udcvr64
1,Andreas Aebi,SVP,https://twitter.com/srfnews/status/1032335837328035841,
2,Matthias Aebischer,SP,https://twitter.com/m_aebischer?lang=de,m_aebischer
3,Thomas Aeschi,SVP,https://twitter.com/thomas_aeschi?lang=de,thomas_aeschi
4,Céline Amaudruz,SVP,https://www.svp.ch/partei/personen/detail/celine-amaudruz/,
5,Thomas Ammann,CVP,https://twitter.com/th_ammann?lang=de,th_ammann
6,Adrian Amstutz,SVP,https://twitter.com/adrianamstutz?lang=de,adrianamstutz
7,Beat Arnold,SVP,https://www.luzernerzeitung.ch/.../beat-arnold-svp-nationalrat-will-2019- wieder-politisieren-ld.1072294,
8,Sibel Arslan,GPS,https://twitter.com/sibelarslanbs,sibelarslanbs
9,Jacqueline Badran,SP,https://twitter.com/jaybadran,jaybadran
10,Guillaume Barazzone,CVP,https://twitter.com/srfnews/status/1058251913513263104?lang...,
11,Angelo Barrile,SP,https://twitter.com/anbarrile,anbarrile
12,Philippe Bauer,FDP,https://twitter.com/fdp_liberalen/status/655817721217576960,
13,Martin Bäumle,glp,https://twitter.com/martin_baeumle?lang=de,martin_baeumle
14,Claude Béglé,CVP,https://twitter.com/claudebegle?lang=de,claudebegle
15,Samuel Bendahan,SP,https://twitter.com/susanneslo/status/875233750900199424,
16,Kathrin Bertschy,glp,https://twitter.com/kathrinbertschy?lang=de,kathrinbertschy
17,Hans-Ulrich Bigler,FDP,https://twitter.com/fdp_liberalen,fdp_liberalen
18,Prisca Birrer-Heimo,SP,https://twitter.com/spschweiz/status/1008696120099442689,
19,Frédéric Borloz,FDP,https://twitter.com/fredericborloz?lang=de,fredericborloz
20,Jacques Bourgeois,FDP,https://www.parlament.ch/de/biografie/jacques-bourgeois/3872,
21,Heinz Brand,SVP,https://twitter.com/brandheinz?lang=de,brandheinz
22,Daniel Brélaz,GPS,https://www.nzz.ch/schweiz/.../das-comeback-von-daniel-brelaz-ld.2608,
23,Hansjörg Brunner,FDP,https://twitter.com/parlch/status/935157742494470145?lang=de,
24,Roland Rino Büchel,SVP,https://twitter.com/zac1967/status/1111375771669401603,
25,Michaël Buffat,SVP,https://www.svp.ch/partei/personen/detail/michael-buffat/,
26,Manfred Bühler,SVP,https://twitter.com/buehler4bern?lang=de,buehler4bern
27,Christine Bulliard-Marbach,CVP,https://twitter.com/bulliardmarbach?lang=de,bulliardmarbach
28,Thomas Burgherr,SVP,https://twitter.com/thomasburgherr?lang=de,thomasburgherr
29,Thierry Burkart,FDP,https://twitter.com/thierryburkart,thierryburkart
30,Duri Campell,BDP,https://twitter.com/duri_campell?lang=de,duri_campell
31,Martin Candinas,CVP,https://twitter.com/martin_candinas?lang=de,martin_candinas
32,Marina Carobbio Guscetti,SP,https://twitter.com/marinacarobbio?lang=de,marinacarobbio
33,Rocco Cattaneo,FDP,https://twitter.com/fdp_bern/status/934086438081220609,
34,Isabelle Chevalley,glp,https://twitter.com/glplab/status/1054781360685154304,
35,Marco Chiesa,SVP,https://twitter.com/marcochiesa74?lang=de,marcochiesa74
36,Raymond Clottu,parteilos1,https://www.parlament.ch/de/biografie/raymond-clottu/4135,
37,Brigitte Crottaz,SP,https://www.sp-ps.ch/de/person/brigitte-crottaz,
38,Dominique de Buman,CVP,https://twitter.com/ddebuman?lang=de,ddebuman
39,Thomas de Courten,SVP,https://twitter.com/srfbasel/status/1033034370305675264,
40,Denis de la Reussille,PdA,https://twitter.com/scif0r?lang=de,scif0r
41,Fathi Derder,FDP,https://twitter.com/fderder,fderder
42,Marcel Dettling,SVP,https://twitter.com/svpch/status/1027441859960950784?lang=de,
43,Marcel Dobler,FDP,https://twitter.com/marcel_dobler?lang=de,marcel_dobler
44,Thomas Egger,CVP,https://twitter.com/thomas_egger_nr?lang=hu,thomas_egger_nr
45,Hans Egloff,SVP,https://twitter.com/svpzh?lang=de,svpzh
46,Corina Eichenberger-Walther,FDP,twitter.com/mjoukov/status/966657205817806848,966657205817806848
47,Yvette Estermann,SVP,https://twitter.com/yvette67yvette?lang=de,yvette67yvette
48,Christoph Eymann,FDP,https://twitter.com/hashtag/eymann,
49,Daniel Fässler,CVP,https://twitter.com/cvp_pdc/status/1037310582729396224,
50,Laurence Fehlmann Rielle,SP,https://www.sp-ps.ch/de/person/laurence-fehlmann-rielle,
51,Olivier Feller,FDP,https://www.parlament.ch/de/biografie/olivier-feller/4077,
52,Yvonne Feri,SP,https://twitter.com/yferi,yferi
53,Doris Fiala,FDP,https://twitter.com/dorisfiala?lang=de,dorisfiala
54,Beat Flach,glp,https://twitter.com/beatflach,beatflach
55,Sylvia Flückiger-Bäni,SVP,https://twitter.com/vimentis/status/638482912648675328,
56,Kurt Fluri,FDP,https://twitter.com/FluriKurt,FluriKurt
57,Sebastian Frehner,SVP,https://twitter.com/svpch/status/961283770916753408,
58,Daniel Frei,SP,https://twitter.com/danielfrei79,danielfrei79
59,Pierre-Alain Fridez,SP,https://www.sp-ps.ch/de/person/pierre-alain-fridez-0,
60,Claudia Friedl,SP,https://twitter.com/claufriedl?lang=de,claufriedl
61,Andrea Geissbühler,SVP,https://twitter.com/thomaslaeubli/status/659461040653078528,
62,Benoît Genecand,FDP,https://twitter.com/benoitgenecand?lang=de,benoitgenecand
63,Ulrich Giezendanner,SVP,https://twitter.com/ugiezendanner?lang=de,ugiezendanner
64,Bastien Girod,GPS,https://twitter.com/bastiengirod/status/662366160290242560,
65,Ida Glanzmann-Hunkeler,CVP,https://www.cvp.ch/de/menschen/ida-glanzmann-hunkeler,
66,Andreas Glarner,SVP,https://twitter.com/hashtag/glarner?lang=de,
67,Balthasar Glättli,GPS,https://twitter.com/bglaettli?lang=de,bglaettli
68,Alice Glauser-Zufferey,SVP,https://www.parlament.ch/de/biografie/alice-glauser-zufferey/3883,
69,Alois Gmür,CVP,https://twitter.com/CVP_PDC/status/1039123847046459393,
70,Andrea Gmür,CVP,https://twitter.com/agmur?lang=de,agmur
71,Roger Golay,MCR,https://www.parlament.ch/de/Seiten/ViewCouncillor.aspx?...4137,
72,Petra Gössi,FDP,https://twitter.com/petragoessi?lang=de,petragoessi
73,Maya Graf,GPS,https://twitter.com/nr_mayagraf,nr_mayagraf
74,Edith Graf-Litscher,SP,https://twitter.com/edithgraf?lang=de,edithgraf
75,Jean-Pierre Grin-Hofmann,SVP,https://www.parlament.ch/de/biografie/jean-pierre-grin/3885,
76,Jürg Grossen,glp,https://twitter.com/juerg_grossen,juerg_grossen
77,Hans Grunder,BDP,https://twitter.com/BDPSchweiz/status/1064478484196667392/.../1,
78,Franz Grüter,SVP,https://twitter.com/fgrueter?lang=de,fgrueter
79,Jean-Paul Gschwind,CVP,https://twitter.com/cvp_pdc/lists/cvp-generalsekretariat,
80,Nik Gugger,EVP,https://twitter.com/nikgugger?lang=de,nikgugger
81,Bernhard Guhl,BDP,https://twitter.com/bernhardguhl?lang=de,bernhardguhl
82,Diana Gutjahr,SVP,https://twitter.com/dianagutjahr1,dianagutjahr1
83,Barbara Gysi,SP,https://twitter.com/bagysi?lang=de,bagysi
84,Philipp Hadorn,SP,https://twitter.com/philipphadorn?lang=de,philipphadorn
85,Thomas Hardegger,SP,https://twitter.com/th_hardegger?lang=de,th_hardegger
86,Markus Hausammann,SVP,https://www.svp-thurgau.ch/personen/markus-hausammann/,
87,Alfred Heer,SVP,https://twitter.com/alfredheer?lang=de,alfredheer
88,Bea Heim,SP,https://twitter.com/beaheim?lang=de,beaheim
89,Verena Herzog,SVP,https://twitter.com/verenaherzog?lang=de,verenaherzog
90,Erich Hess,SVP,https://twitter.com/erich_hess?lang=de,erich_hess
91,Lorenz Hess,BDP,https://twitter.com/lorenzhess?lang=de,lorenzhess
92,Hugues Hiltpold,FDP,https://twitter.com/hhiltpold?lang=de,hhiltpold
93,Ruth Humbel Näf,CVP,https://twitter.com/ruthhumbel?lang=de,ruthhumbel
94,Thomas Hurter,SVP,https://twitter.com/hurterthomas?lang=de,hurterthomas
95,Christian Imark,SVP,https://twitter.com/christianimark?lang=de,christianimark
96,Beat Jans,SP,https://twitter.com/spschweiz/status/903712062676729856,
97,Matthias Jauslin,FDP,https://www.aargauerzeitung.ch/.../aargauer-nationalrat-jauslin-kaempft-auf- twitter-gegen-die-parteiparole-seiner-fdp-132580197,
98,Irène Kälin,GPS,https://twitter.com/kaelinirene?lang=de,kaelinirene
99,Peter Keller,SVP,https://twitter.com/peterkeller3,peterkeller3
100,Barbara Keller-Inhelder,SVP,https://twitter.com/blickch/status/990874515868614656?lang=de,
101,Margret Kiener Nellen,SP,https://twitter.com/margretkiener?lang=de,margretkiener
102,Hansjörg Knecht,SVP,https://twitter.com/hansjoergknecht?lang=de,hansjoergknecht
103,Roger Köppel,SVP,https://twitter.com/koeppelroger?lang=de,koeppelroger
104,Philipp Kutter,CVP,https://twitter.com/philippkutter?lang=de,philippkutter
105,Martin Landolt,BDP,https://twitter.com/landoltmartin,landoltmartin
106,Christian Lohr,CVP,https://twitter.com/ch_lohr?lang=de,ch_lohr
107,Christian Lüscher,FDP,https://twitter.com/luschair,luschair
108,Jacques-André Maire,SP,https://twitter.com/mairejack?lang=de,mairejack
109,Géraldine Marchand-Balet,CVP,https://twitter.com/CVP_PDC/status/1039495382106075136,
110,Christa Markwalder,FDP,https://twitter.com/christamarkwald,christamarkwald
111,Ada Marra,SP,https://twitter.com/ada_marra,ada_marra
112,Min Li Marti,SP,https://twitter.com/minlimarti,minlimarti
113,Samira Marti,SP,https://twitter.com/samiramarti?lang=de,samiramarti
114,Magdalena Martullo-Blocher,SVP,https://twitter.com/hashtag/martullo?lang=de,
115,Nadine Masshardt,SP,https://twitter.com/nmasshardt,nmasshardt
116,Thomas Matter,SVP,https://twitter.com/SVPch/status/996035919965802497,
117,Lisa Mazzone,GPS,https://twitter.com/gruenech/status/671327375775408128?lang...,
118,Giovanni Merlini,FDP,https://twitter.com/fdp_liberalen/status/655802265463189504?...,
119,Mattea Meyer,SP,https://twitter.com/meyer_mattea,meyer_mattea
120,Fabian Molina,SP,https://twitter.com/molinafab?lang=de,molinafab
121,Isabelle Moret,FDP,https://twitter.com/isabellemoret?lang=de,isabellemoret
122,Tiana Angelina Moser,glp,https://twitter.com/tiana_moser?lang=de,tiana_moser
123,Leo Müller,CVP,https://twitter.com/CVP_PDC/status/1098985959658610688/.../1,
124,Thomas Müller,SVP,https://twitter.com/thomasmillair?lang=de,thomasmillair
125,Walter Müller,FDP,https://twitter.com/walterm_brhv?lang=de,walterm_brhv
126,Stefan Müller-Altermatt,CVP,https://twitter.com/mulleraltermatt?lang=de,mulleraltermatt
127,Martina Munz,SP,https://twitter.com/martinamunz?lang=sr,martinamunz
128,Felix Müri,SVP,www.mueri.info/,
129,Martin Naef,SP,https://twitter.com/spschweiz/status/860490560502730752,
130,Philippe Nantermod,FDP,https://twitter.com/nantermod?lang=de,nantermod
131,Jacques Nicolet,SVP,https://www.watson.ch/.../svp/962102737-svp-waadt-waehlt-jacques-nicolet- zum-neuen-parteipraesidenten,
132,Yves Nidegger,SVP,https://twitter.com/yvesnidegger?lang=de,yvesnidegger
133,Roger Nordmann,SP,https://twitter.com/nordmannroger?lang=de,nordmannroger
134,Eric Nussbaumer,SP,https://twitter.com/enussbi?lang=de,enussbi
135,Nicolo Paganini,CVP,https://twitter.com/paganini_nr,paganini_nr
136,Pierre-André Page,SVP,https://twitter.com/SVPch/status/1032921974316650496,
137,Roberta Pantani,Lega,https://twitter.com/robipanta?lang=de,robipanta
138,Corrado Pardini,SP,https://twitter.com/spschweiz/status/565807926506700800?lang...,
139,Bruno Pezzatti,FDP,https://twitter.com/fdpzg?lang=de,fdpzg
140,Gerhard Pfister,CVP,https://twitter.com/gerhardpfister,gerhardpfister
141,Nadja Pieren,SVP,https://nadja-pieren.ch/,
142,Valérie Piller Carrard,SP,https://twitter.com/valerie_piller?lang=de,valerie_piller
143,Hans-Peter Portmann,FDP,https://twitter.com/hpportmann?lang=de,hpportmann
144,Rosmarie Quadranti,BDP,https://twitter.com/quadrantir?lang=de,quadrantir
145,Lorenzo Quadri,Lega,https://twitter.com/lorenzquadri,lorenzquadri
146,Fabio Regazzi,CVP,https://twitter.com/fregazzi,fregazzi
147,Lukas Reimann,SVP,https://twitter.com/lukasreimann,lukasreimann
148,Maximilian Reimann,SVP,https://twitter.com/maximilian_rei?lang=de,maximilian_rei
149,Mathias Reynard,SP,https://twitter.com/mathiasreynard,mathiasreynard
150,Natalie Rickli,SVP,https://twitter.com/natalierickli?lang=de,natalierickli
151,Kathy Riklin,CVP,https://twitter.com/kathyriklin,kathyriklin
152,Jean-François Rime,SVP,https://twitter.com/jfrime?lang=de,jfrime
153,Markus Ritter,CVP,www.markusritter.ch/,
154,Benjamin Roduit,CVP,https://twitter.com/roduitbenjamin?lang=de,roduitbenjamin
155,Marco Romano,CVP,https://twitter.com/marcoromanoppd?lang=de,marcoromanoppd
156,Albert Rösti,SVP,https://twitter.com/svpch/status/1026392544215744512,
157,Rebecca Ruiz,SP,https://twitter.com/reb_ruiz?lang=de,reb_ruiz
158,Franz Ruppen,SVP,https://twitter.com/michelvenetz/status/912359480180035584,
159,Gregor A. Rutz,SVP,https://twitter.com/jonasprojer/status/959380951112519680,
160,Regula Rytz,GPS,https://twitter.com/regularytz,regularytz
161,Werner Salzmann,SVP,https://twitter.com/wernersalzmann?lang=de,wernersalzmann
162,Regine Sauter,FDP,https://reginesauter.ch/,
163,Silvia Schenker,SP,https://twitter.com/schenkersilvia?lang=de,schenkersilvia
164,Peter Schilliger,FDP,www.peter-schilliger.ch/,
165,Daniela Schneeberger,FDP,https://twitter.com/fdp_liberalen/status/655798033561481216,
166,Elisabeth Schneider-Schneiter,CVP,https://twitter.com/elisabeth_s_s?lang=de,elisabeth_s_s
167,Ursula Schneider Schüttel,SP,https://twitter.com/uschneiderschue?lang=de,uschneiderschue
168,Pirmin Schwander,SVP,https://twitter.com/srfnews/status/770847134300143617,
169,Priska Seiler Graf,SP,https://twitter.com/seilergraf?lang=de,seilergraf
170,Silva Semadeni,SP,https://www.sp-ps.ch/de/person/silva-semadeni-0,
171,Heinz Siegenthaler,BDP,https://twitter.com/h_siegenthaler?lang=de,h_siegenthaler
172,Sandra Sollberger-Muff,SVP,https://de.wikipedia.org/wiki/Sandra_Sollberger-Muff,
173,Carlo Sommaruga,SP,https://twitter.com/carlosommaruga,carlosommaruga
174,Jürg Stahl,SVP,https://twitter.com/hashtag/jürgstahl,
175,Luzi Stamm,SVP,https://twitter.com/luzistamm?lang=de,luzistamm
176,Barbara Steinemann,SVP,https://twitter.com/babasteinemann?lang=de,babasteinemann
177,Marianne Streiff-Feller,EVP,https://twitter.com/benihochuli/status/645832480424132608,
178,Adèle Thorens Goumaz,GPS,https://twitter.com/adelethorens?lang=de,adelethorens
179,Michael Töngi,GPS,https://twitter.com/mtoengi?lang=de,mtoengi
180,Manuel Tornare,SP,https://twitter.com/manueltornare,manueltornare
181,Aline Trede,GPS,https://twitter.com/alinetrede?lang=de,alinetrede
182,Mauro Tuena,SVP,https://twitter.com/TalkTaeglich/status/870343997096689665,
183,Albert Vitali,FDP,https://twitter.com/Blickch/status/974417705649561602,
184,Karl Vogler,csp-ow,https://www.karlvogler.ch/,
185,Hans-Ueli Vogt,SVP,https://twitter.com/hansuelivogt?lang=de,hansuelivogt
186,Erich von Siebenthal,SVP,https://twitter.com/maemst/status/799938311951413248,
187,Bruno Walliser,SVP,https://twitter.com/gewerbeverband/status/715103176005926912,
188,Beat Walti,FDP,www.beat-walti.ch/startseite,
189,Christian Wasserfallen,FDP,https://twitter.com/cwasi?lang=de,cwasi
190,Flavia Wasserfallen,SP,https://twitter.com/fwasserfallen?lang=de,fwasserfallen
191,Laurent Wehrli,FDP,https://twitter.com/laurentwehrli?lang=de,laurentwehrli
192,Thomas Weibel,glp,https://twitter.com/glpzh/status/928228826521497601,
193,Cédric Wermuth,SP,https://twitter.com/cedricwermuth,cedricwermuth
194,Walter Wobmann,SVP,www.walter-wobmann.ch/,
195,Adrian Wüthrich,SP,https://twitter.com/adrianwuethrich,adrianwuethrich
196,Claudio Zanetti,SVP,https://twitter.com/zac1967?lang=de,zac1967
197,David Zuberbühler,SVP,däzubi.ch/,
198,Fabio Abate,FDP,https://twitter.com/fdp_liberalen/status/665883459982872576?...,
199,Isidor Baumann,CVP,https://twitter.com/alliance_f/status/1001398471587500032,
200,Didier Berberat,SP,https://www.sp-ps.ch/en/node/4853,
201,Pirmin Bischof,CVP,https://twitter.com/pirminbischof?lang=de,pirminbischof
202,Ivo Bischofberger,CVP,https://twitter.com/CVP_PDC/status/1040281490842636288,
203,Pascale Bruderer,SP,https://twitter.com/pascalebruderer?lang=de,pascalebruderer
204,Andrea Caroni,FDP,https://twitter.com/andreacaroniar?lang=de,andreacaroniar
205,Raphaël Comte,FDP,https://twitter.com/raphaelcomtece?lang=de,raphaelcomtece
206,Robert Cramer,GPS,https://twitter.com/robbie_cramer?lang=de,robbie_cramer
207,Josef Dittli,FDP,https://twitter.com/fdp_liberalen/status/655712979124510721,
208,Roland Eberle,SVP,https://twitter.com/EVP_BL/status/966718700337422336,
209,Joachim Eder,FDP,https://twitter.com/jonasprojer/status/959380592923160579?lang=de,
210,Stefan Engler,CVP,https://twitter.com/engler_stefan?lang=de,engler_stefan
211,Erich Ettlin,CVP,https://twitter.com/e_ettlin?lang=de,e_ettlin
212,Anita Fetz,SP,https://twitter.com/jonasprojer/status/824295410424496128,
213,Peter Föhn,SVP,https://twitter.com/jusoschweiz/status/425669269356294144,
214,Jean-René Fournier,CVP,https://twitter.com/parlch?lang=es,parlch
215,Olivier Français,FDP,https://twitter.com/olifrancais?lang=de,olifrancais
216,Hannes Germann,SVP,https://twitter.com/SVPch/status/1009008143165263872,
217,Konrad Graber,CVP,https://twitter.com/graberkonrad?lang=de,graberkonrad
218,Ruedi Noser,FDP,https://twitter.com/ruedinoser?lang=de,ruedinoser
219,Brigitte Häberli-Koller,CVP,https://twitter.com/b_haeberli?lang=de,b_haeberli
220,Claude Hêche,SP,https://www.sp-ps.ch/de/person/claude-heche,
221,Thomas Hefti,FDP,https://twitter.com/fdp_liberalen/status/655709348778283009?...,
222,Peter Hegglin,CVP,https://twitter.com/cvp_pdc/status/1003892664062955520,
223,Werner Hösli,SVP,https://twitter.com/werner_hoesli?lang=de,werner_hoesli
224,Claude Janiak,SP,https://twitter.com/sp_bl?lang=de,sp_bl
225,Daniel Jositsch,SP,https://twitter.com/danieljositsch?lang=de,danieljositsch
226,Alex Kuprecht,SVP,https://twitter.com/Blickch/status/821489350466670593,
227,Christian Levrat,SP,https://twitter.com/christianlevrat?lang=de,christianlevrat
228,Filippo Lombardi,CVP,https://twitter.com/lombardi1956?lang=de,lombardi1956
229,Werner Luginbühl,BDP,https://twitter.com/w_luginbuehl,w_luginbuehl
230,Liliane Maury Pasquier,SP,https://twitter.com/spschweiz/status/1011200677362663425,
231,Thomas Minder,–,https://twitter.com/tminder5,tminder5
232,Damian Müller,FDP,https://twitter.com/damian_mueller_?lang=de,damian_mueller_
233,Philipp Müller,FDP,https://twitter.com/fdp_liberalen/status/421954162008408064,
234,Paul Rechsteiner,SP,https://twitter.com/paulrechsteiner?lang=de,paulrechsteiner
235,Beat Rieder,CVP,https://www.beat-rieder.ch/,
236,Géraldine Savary,SP,https://twitter.com/inside_sda/status/965868560512901120/.../1,
237,Martin Schmid,FDP,https://twitter.com/fdp_liberalen/status/655706389625475072,
238,Anne Seydoux-Christe,CVP,https://www.parlament.ch/de/biografie/anne-seydoux-christe/3920,
239,Hans Stöckli,SP,https://www.sp-ps.ch/de/person/hans-stoeckli,
240,Beat Vonlanthen,CVP,https://twitter.com/beat_vonlanthen?lang=de,beat_vonlanthen
241,Hans Wicki,FDP,https://www.wickihans.ch/,
242,Roberto Zanetti,SP,https://twitter.com/zanettiroberto?lang=de,zanettiroberto
